miR	Score	AvgRandScore	sd(randScore)	max(randScore)	Rank	count>=	pValue	FDR(0.05) thresh	BH-sig	pv_corrected	pv_adjusted
miR-384/384-3p	0.0556	0.1005	0.0826	0.5510	200	668	0.666667	0.031250	0	1.066667	0.999002	,ARRDC3
miR-491-5p	0.0556	0.1045	0.0905	0.8206	201	674	0.672655	0.031406	0	1.070893	0.999002	,ARRDC3
miR-143/1721/4770	0.0556	0.0981	0.0813	0.4818	202	679	0.677645	0.031563	0	1.073497	0.999002	,ANXA3
miR-31	0.0556	0.0960	0.0791	0.4122	203	680	0.678643	0.031719	0	1.069782	0.999002	,ARRDC3
miR-335/335-5p	0.0556	0.0997	0.0826	0.5036	204	681	0.679641	0.031875	0	1.066103	0.999002	,ARRDC3
miR-182	0.0833	0.1389	0.0964	0.6633	205	686	0.684631	0.032031	0	1.068692	0.999002	,ARRDC3
miR-3058/4691-3p	0.0694	0.1217	0.0900	0.5353	206	686	0.684631	0.032188	0	1.063504	0.999002	,CYR61
miR-542-3p	0.0694	0.1232	0.0877	0.5953	207	695	0.693613	0.032344	0	1.072252	0.999002	,IGFBP6
miR-205/205ab	0.0556	0.1072	0.0838	0.5161	208	709	0.707585	0.032500	0	1.088592	0.999002	,TMSB4X
miR-338/338-3p	0.0556	0.1086	0.0838	0.4823	209	713	0.711577	0.032656	0	1.089496	0.999002	,FOS
miR-291ab-5p	0.0694	0.1310	0.0908	0.4980	210	732	0.730539	0.032813	0	1.113202	0.999002	,SOCS3
let-7/98/4458/4500	0.0556	0.1120	0.0867	0.6080	211	734	0.732535	0.032969	0	1.110953	0.999002	,GPCPD1
miR-26ab/1297/4465	0.0694	0.1368	0.0942	0.6260	212	743	0.741517	0.033125	0	1.119271	0.999002	,DUSP5
miR-742	0.0694	0.1507	0.1046	0.5709	213	754	0.752495	0.033281	0	1.130509	0.999002	,SOCS3
miR-141/200a	0.0694	0.1544	0.1057	0.5553	214	774	0.772455	0.033438	0	1.155073	0.999002	,DUSP5
miR-545/3065/3065-5p	0.0694	0.1572	0.1104	0.6282	215	774	0.772455	0.033594	0	1.149701	0.999002	,ARRDC3
miR-96/507/1271	0.0556	0.1314	0.0944	0.6829	216	788	0.786427	0.033750	0	1.165077	0.999002	,ARRDC3
miR-410/344de/344b-1-3p	0.0556	0.1313	0.0928	0.4919	217	789	0.787425	0.033906	0	1.161180	0.999002	,SNX3
miR-185/882/3473/4306/4644	0.0556	0.1349	0.0963	0.4951	218	797	0.795409	0.034063	0	1.167573	0.999002	,HPX
miR-17/17-5p/20ab/20b-5p/93/106ab/427/518a-3p/519d	0.0556	0.1380	0.0981	0.5253	219	807	0.805389	0.034219	0	1.176824	0.999002	,CYP24A1
miR-24/24ab/24-3p	0.0556	0.1350	0.0950	0.6850	220	810	0.808383	0.034375	0	1.175830	0.999002	,SOCS3
miR-674/674-5p/3473d	0.0556	0.1368	0.0939	0.5514	221	812	0.810379	0.034531	0	1.173400	0.999002	,CYR61
miR-298/2347/2467-3p	0.0694	0.1680	0.1102	0.7894	222	821	0.819361	0.034688	0	1.181061	0.999002	,SOCS3
miR-300/381/539-3p	0.0556	0.1464	0.0999	0.7620	223	822	0.820359	0.034844	0	1.177197	0.999002	,ARRDC3
miR-27abc/27a-3p	0.0694	0.1701	0.1070	0.7856	224	835	0.833333	0.035000	0	1.190476	0.999002	,DUSP5
miR-3064-5p/3085-3p	0.0556	0.1475	0.0975	0.6016	225	838	0.836327	0.035156	0	1.189443	0.999002	,ARRDC3
miR-9/9ab	0.0556	0.1583	0.1053	0.6234	226	856	0.854291	0.035313	0	1.209616	0.999002	,SOCS3
miR-326/330/330-5p	0.0556	0.1601	0.1057	0.6526	227	861	0.859281	0.035469	0	1.211322	0.999002	,FOS
miR-709/1827	0.0556	0.1761	0.1174	0.6708	228	870	0.868263	0.035625	0	1.218615	0.999002	,SOCS3
miR-1954/3158-5p	0.0556	0.1670	0.1048	0.5566	229	873	0.871257	0.035781	0	1.217478	0.999002	,GPCPD1
miR-126-5p	0.0000	0.1349	0.1067	0.7141	230	1001	0.999002	0.035937	0	1.389916	0.999002	
miR-376abd/376b-3p	0.0000	0.0584	0.0639	0.4571	231	1001	0.999002	0.036094	0	1.383899	0.999002	
miR-15abc/16/16abc/195/322/424/497/1907	0.0000	0.1923	0.1220	0.8198	232	1001	0.999002	0.036250	0	1.377934	0.999002	
miR-451	0.0000	0.0056	0.0202	0.2180	233	1001	0.999002	0.036406	0	1.372020	0.999002	
miR-666-5p	0.0000	0.0106	0.0267	0.1884	234	1001	0.999002	0.036563	0	1.366157	0.999002	
miR-1251	0.0000	0.0544	0.0604	0.3697	235	1001	0.999002	0.036719	0	1.360343	0.999002	
miR-718	0.0000	0.0041	0.0171	0.1796	236	1001	0.999002	0.036875	0	1.354579	0.999002	
miR-341	0.0000	0.0003	0.0038	0.0640	237	1001	0.999002	0.037031	0	1.348863	0.999002	
miR-376a	0.0000	0.0046	0.0177	0.1485	238	1001	0.999002	0.037187	0	1.343196	0.999002	
miR-1893/2277-5p	0.0000	0.0040	0.0178	0.1874	239	1001	0.999002	0.037344	0	1.337576	0.999002	
miR-551a	0.0000	0.0036	0.0148	0.1089	240	1001	0.999002	0.037500	0	1.332003	0.999002	
miR-463	0.0000	0.0266	0.0391	0.2359	241	1001	0.999002	0.037656	0	1.326476	0.999002	
miR-541	0.0000	0.0498	0.0570	0.3766	242	1001	0.999002	0.037813	0	1.320994	0.999002	
miR-361-5p	0.0000	0.0635	0.0642	0.3629	243	1001	0.999002	0.037969	0	1.315558	0.999002	
miR-675-5p/4466	0.0000	0.0066	0.0207	0.1432	244	1001	0.999002	0.038125	0	1.310167	0.999002	
miR-34bc-3p	0.0000	0.0480	0.0561	0.3685	245	1001	0.999002	0.038281	0	1.304819	0.999002	
miR-665	0.0000	0.1580	0.1082	0.6760	246	1001	0.999002	0.038437	0	1.299515	0.999002	
miR-344bg-5p	0.0000	0.0727	0.0659	0.3186	247	1001	0.999002	0.038594	0	1.294254	0.999002	
miR-471-5p	0.0000	0.0023	0.0123	0.1076	248	1001	0.999002	0.038750	0	1.289035	0.999002	
miR-224	0.0000	0.1156	0.0882	0.5052	249	1001	0.999002	0.038906	0	1.283858	0.999002	
miR-127/127-3p	0.0000	0.0062	0.0204	0.1681	250	1001	0.999002	0.039062	0	1.278723	0.999002	
miR-1247	0.0000	0.0072	0.0224	0.1975	251	1001	0.999002	0.039219	0	1.273628	0.999002	
miR-654-3p	0.0000	0.0720	0.0656	0.3939	252	1001	0.999002	0.039375	0	1.268574	0.999002	
miR-99ab/100	0.0000	0.0068	0.0210	0.1404	253	1001	0.999002	0.039531	0	1.263560	0.999002	
miR-667	0.0000	0.0568	0.0564	0.3171	254	1001	0.999002	0.039688	0	1.258585	0.999002	
miR-370	0.0000	0.1374	0.0992	0.6736	255	1001	0.999002	0.039844	0	1.253650	0.999002	
miR-874	0.0000	0.0906	0.0827	0.4996	256	1001	0.999002	0.040000	0	1.248752	0.999002	
miR-184	0.0000	0.0112	0.0264	0.1577	257	1001	0.999002	0.040156	0	1.243894	0.999002	
miR-340-3p	0.0000	0.0057	0.0194	0.1751	258	1001	0.999002	0.040313	0	1.239072	0.999002	
miR-324-5p	0.0000	0.0505	0.0595	0.3935	259	1001	0.999002	0.040469	0	1.234288	0.999002	
miR-490-3p	0.0000	0.0651	0.0640	0.3209	260	1001	0.999002	0.040625	0	1.229541	0.999002	
miR-151-5p/151b	0.0000	0.0101	0.0272	0.2237	261	1001	0.999002	0.040781	0	1.224830	0.999002	
miR-487b	0.0000	0.0033	0.0153	0.1693	262	1001	0.999002	0.040938	0	1.220155	0.999002	
miR-764-5p	0.0000	0.0740	0.0714	0.4745	263	1001	0.999002	0.041094	0	1.215516	0.999002	
miR-501-5p	0.0000	0.0727	0.0694	0.5746	264	1001	0.999002	0.041250	0	1.210912	0.999002	
miR-743a/743b-3p	0.0000	0.1698	0.1089	0.9305	265	1001	0.999002	0.041406	0	1.206342	0.999002	
miR-881/892a	0.0000	0.0818	0.0712	0.4061	266	1001	0.999002	0.041563	0	1.201807	0.999002	
miR-508-5p/509-5p	0.0000	0.0800	0.0735	0.3902	267	1001	0.999002	0.041719	0	1.197306	0.999002	
miR-210	0.0000	0.0089	0.0237	0.2032	268	1001	0.999002	0.041875	0	1.192838	0.999002	
miR-328a/328b-3p	0.0000	0.0777	0.0753	0.4399	269	1001	0.999002	0.042031	0	1.188404	0.999002	
miR-503	0.0000	0.0518	0.0550	0.3084	270	1001	0.999002	0.042188	0	1.184002	0.999002	
miR-93/93a/105/106a/291a-3p/294/295/302abcde/372/373/428/519a/520be/520acd-3p/1378/1420ac	0.0000	0.0989	0.0836	0.4440	271	1001	0.999002	0.042344	0	1.179633	0.999002	
miR-485-5p/1698/1703/1962	0.0000	0.1309	0.0974	0.5482	272	1001	0.999002	0.042500	0	1.175296	0.999002	
miR-147/147b	0.0000	0.0067	0.0202	0.1725	273	1001	0.999002	0.042656	0	1.170991	0.999002	
miR-202-5p/337-3p	0.0000	0.0606	0.0632	0.3798	274	1001	0.999002	0.042813	0	1.166718	0.999002	
miR-574-3p	0.0000	0.0056	0.0192	0.1584	275	1001	0.999002	0.042969	0	1.162475	0.999002	
miR-652	0.0000	0.0053	0.0184	0.1524	276	1001	0.999002	0.043125	0	1.158263	0.999002	
miR-3960	0.0000	0.0056	0.0212	0.1632	277	1001	0.999002	0.043281	0	1.154082	0.999002	
miR-194	0.0000	0.0873	0.0763	0.4241	278	1001	0.999002	0.043438	0	1.149930	0.999002	
miR-3093-3p/3138	0.0000	0.0658	0.0640	0.3587	279	1001	0.999002	0.043594	0	1.145809	0.999002	
miR-532-5p/511	0.0000	0.0542	0.0588	0.3434	280	1001	0.999002	0.043750	0	1.141717	0.999002	
miR-542-5p.hmr	0.0000	0.0063	0.0222	0.2243	281	1001	0.999002	0.043906	0	1.137654	0.999002	
miR-378/422a/378bcdefhi	0.0000	0.0837	0.0754	0.4403	282	1001	0.999002	0.044063	0	1.133619	0.999002	
miR-199ab-5p	0.0000	0.1113	0.0886	0.9026	283	1001	0.999002	0.044219	0	1.129614	0.999002	
miR-671-3p	0.0000	0.0042	0.0162	0.1297	284	1001	0.999002	0.044375	0	1.125636	0.999002	
miR-139-3p.dmr	0.0000	0.0556	0.0574	0.3559	285	1001	0.999002	0.044531	0	1.121686	0.999002	
miR-323-5p/1421qns	0.0000	0.0599	0.0669	0.4691	286	1001	0.999002	0.044688	0	1.117764	0.999002	
miR-200bc/429/548a	0.0000	0.1393	0.1002	0.6542	287	1001	0.999002	0.044844	0	1.113870	0.999002	
miR-216b/216b-5p	0.0000	0.0671	0.0652	0.3706	288	1001	0.999002	0.045000	0	1.110002	0.999002	
miR-615-3p	0.0000	0.0080	0.0235	0.1549	289	1001	0.999002	0.045156	0	1.106161	0.999002	
miR-744/1716	0.0000	0.0144	0.0324	0.2562	290	1001	0.999002	0.045312	0	1.102347	0.999002	
miR-346	0.0000	0.0659	0.0671	0.3855	291	1001	0.999002	0.045469	0	1.098559	0.999002	
miR-879/3188	0.0000	0.0885	0.0749	0.4061	292	1001	0.999002	0.045625	0	1.094797	0.999002	
miR-296-5p	0.0000	0.0697	0.0740	0.5158	293	1001	0.999002	0.045781	0	1.091060	0.999002	
miR-1249	0.0000	0.0068	0.0211	0.1830	294	1001	0.999002	0.045938	0	1.087349	0.999002	
miR-483-5p	0.0000	0.0066	0.0209	0.1717	295	1001	0.999002	0.046094	0	1.083663	0.999002	
miR-423-3p	0.0000	0.0069	0.0215	0.1678	296	1001	0.999002	0.046250	0	1.080002	0.999002	
miR-872/1421acal	0.0000	0.0364	0.0470	0.2820	297	1001	0.999002	0.046406	0	1.076366	0.999002	
miR-3084/4727-5p	0.0000	0.1017	0.0861	0.5084	298	1001	0.999002	0.046562	0	1.072754	0.999002	
miR-671-5p	0.0000	0.1130	0.0903	0.5089	299	1001	0.999002	0.046719	0	1.069166	0.999002	
miR-3074-5p	0.0000	0.1349	0.0945	0.5171	300	1001	0.999002	0.046875	0	1.065602	0.999002	
miR-486-5p/3107	0.0000	0.0470	0.0532	0.3651	301	1001	0.999002	0.047031	0	1.062062	0.999002	
miR-122/122a/1352	0.0000	0.0663	0.0716	0.3890	302	1001	0.999002	0.047188	0	1.058545	0.999002	
miR-369-5p	0.0000	0.0024	0.0117	0.1125	303	1001	0.999002	0.047344	0	1.055052	0.999002	
miR-1900/4632	0.0000	0.0083	0.0249	0.1856	304	1001	0.999002	0.047500	0	1.051581	0.999002	
miR-677/4276	0.0000	0.1100	0.0864	0.5491	305	1001	0.999002	0.047656	0	1.048133	0.999002	
miR-146ac/146b-5p	0.0000	0.0921	0.0779	0.4638	306	1001	0.999002	0.047813	0	1.044708	0.999002	
miR-126-3p	0.0000	0.0028	0.0136	0.1493	307	1001	0.999002	0.047969	0	1.041305	0.999002	
miR-125b-1-3p/125b-3p	0.0000	0.0025	0.0116	0.1016	308	1001	0.999002	0.048125	0	1.037924	0.999002	
miR-188-5p	0.0000	0.0553	0.0580	0.3164	309	1001	0.999002	0.048281	0	1.034565	0.999002	
miR-150/5127	0.0000	0.1146	0.0888	0.4859	310	1001	0.999002	0.048438	0	1.031228	0.999002	
miR-615-5p	0.0000	0.0607	0.0702	0.5543	311	1001	0.999002	0.048594	0	1.027912	0.999002	
miR-376c/741-5p	0.0000	0.0596	0.0635	0.3860	312	1001	0.999002	0.048750	0	1.024617	0.999002	
miR-296-3p	0.0000	0.0395	0.0483	0.3092	313	1001	0.999002	0.048906	0	1.021344	0.999002	
miR-339-3p	0.0000	0.0084	0.0238	0.1456	314	1001	0.999002	0.049063	0	1.018091	0.999002	
miR-362-5p/500b	0.0000	0.0534	0.0584	0.3375	315	1001	0.999002	0.049219	0	1.014859	0.999002	
miR-324-3p	0.0000	0.1007	0.0802	0.5444	316	1001	0.999002	0.049375	0	1.011648	0.999002	
miR-1306/1306-3p	0.0000	0.0038	0.0156	0.1142	317	1001	0.999002	0.049531	0	1.008456	0.999002	
miR-21/590-5p	0.0000	0.0561	0.0620	0.3325	318	1001	0.999002	0.049688	0	1.005285	0.999002	
miR-758	0.0000	0.0728	0.0666	0.3807	319	1001	0.999002	0.049844	0	1.002134	0.999002	
miR-1843-5p/4802-5p	0.0000	0.0703	0.0678	0.3463	320	1001	0.999002	0.050000	0	0.999002	0.999002	


